;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
й;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
к;0.00868;0.00067;0.00000;0.00000;0.00067;0.00267;0.00000;0.00000;0.00000;0.00401;0.00000;0.00000;0.00000;0.00067;0.00067;0.00868;0.00067;0.00401;0.00000;0.00067;0.00334;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
л;0.00801;0.00134;0.00067;0.00067;0.00000;0.01068;0.00000;0.00067;0.00000;0.00401;0.00000;0.00067;0.00000;0.00000;0.00134;0.00668;0.00134;0.00000;0.00601;0.00000;0.00334;0.00000;0.00000;0.00000;0.00334;0.00067;0.00000;0.00000;0.00067;0.00267;0.00000;0.00134;0.00267;
м;0.00200;0.00067;0.00067;0.00000;0.00000;0.00401;0.00000;0.00000;0.00000;0.00401;0.00000;0.00067;0.00000;0.00067;0.00200;0.00467;0.00067;0.00067;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00200;0.00000;0.00000;0.00000;0.00134;
н;0.01135;0.00000;0.00000;0.00000;0.00000;0.00734;0.00000;0.00000;0.00000;0.00601;0.00000;0.00200;0.00000;0.00000;0.00000;0.00668;0.00000;0.00000;0.00067;0.00067;0.00334;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00134;0.00534;0.00000;0.00067;0.00267;
о;0.00000;0.00668;0.00801;0.00334;0.00801;0.00401;0.00000;0.00401;0.00067;0.00734;0.00000;0.00334;0.00668;0.00868;0.00734;0.00200;0.00200;0.00534;0.00734;0.01135;0.00000;0.00000;0.00067;0.00000;0.00467;0.00200;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00267;
п;0.00067;0.00000;0.00000;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00134;0.00000;0.00067;0.00000;0.00000;0.00000;0.01068;0.00000;0.01068;0.00000;0.00067;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
р;0.01135;0.00000;0.00000;0.00000;0.00000;0.00734;0.00000;0.00000;0.00134;0.00467;0.00000;0.00000;0.00000;0.00000;0.00067;0.00935;0.00000;0.00000;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00267;0.00067;0.00000;0.00000;0.00067;
с;0.00200;0.00067;0.00267;0.00000;0.00067;0.00334;0.00000;0.00000;0.00000;0.00134;0.00000;0.00534;0.00601;0.00067;0.00067;0.00467;0.00134;0.00000;0.00200;0.01268;0.00334;0.00000;0.00067;0.00000;0.00134;0.00000;0.00000;0.00000;0.00067;0.00134;0.00067;0.00000;0.00668;
т;0.00334;0.00000;0.00467;0.00000;0.00067;0.00334;0.00000;0.00000;0.00000;0.00467;0.00000;0.00000;0.00134;0.00000;0.00000;0.01669;0.00134;0.00134;0.00267;0.00000;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.01268;0.00000;0.00000;0.00067;
у;0.00000;0.00000;0.00134;0.00067;0.00267;0.00067;0.00000;0.00134;0.00067;0.00134;0.00000;0.00200;0.00200;0.00200;0.00000;0.00000;0.00134;0.00000;0.00334;0.00134;0.00000;0.00000;0.00000;0.00000;0.00134;0.00868;0.00067;0.00000;0.00000;0.00000;0.00000;0.00200;0.00134;
ф;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.00134;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00000;0.00067;0.00134;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ц;0.00000;0.00000;0.00067;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.00401;0.00000;0.00000;0.00000;0.00000;0.00601;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00601;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.00401;0.00000;0.00000;0.00000;0.00000;0.00200;0.00000;0.00000;0.00000;0.00401;0.00000;0.00534;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
щ;0.00067;0.00000;0.00000;0.00000;0.00000;0.00200;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.00000;0.00000;0.00067;0.00000;0.00067;0.00067;0.00000;0.00000;0.00000;0.00267;0.00000;0.00000;0.00267;0.00134;0.00067;0.00000;0.00134;0.00000;0.00134;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;
ь;0.00000;0.00000;0.00067;0.00067;0.00200;0.00134;0.00000;0.00000;0.00134;0.00000;0.00000;0.00134;0.00134;0.00000;0.00000;0.00134;0.00067;0.00067;0.00668;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00200;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00267;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.00067;0.00000;0.00000;0.00067;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00134;
я;0.00000;0.00134;0.00334;0.00134;0.00134;0.00067;0.00000;0.00000;0.00200;0.00000;0.00000;0.00000;0.00334;0.00067;0.00067;0.00267;0.00668;0.00267;0.00200;0.00067;0.00067;0.00000;0.00067;0.00000;0.00134;0.00067;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00200;
